date,time,T_cmb0,deltaT0,r_i,X_Mg_0,X_Si_0,X_O_0,fraction_MgFe_b,X_MgFeO_b,X_SiO2_b,nu_present,layer_thickness,overturn,ratio_ri
2018-03-01,06:48:32.246523,5500,2800,3480000,0.01,0.05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:48:43.840573,5000,2800,3480000,0.025,1E-05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:48:55.306590,5250,2800,3480000,0.025,1E-05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:49:05.168299,5500,2800,3480000,0.025,1E-05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:49:15.616236,5000,2800,3480000,0.025,0.01,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:49:26.122125,5250,2800,3480000,0.025,0.01,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:49:36.419360,5500,2800,3480000,0.025,0.01,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:49:48.903070,5000,2800,3480000,0.025,0.025,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:49:59.592502,5250,2800,3480000,0.025,0.025,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:50:07.778239,5500,2800,3338594.53052475,0.025,0.025,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.73655289387274
2018-03-01,06:50:20.651636,5000,2800,3480000,0.025,0.05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:50:28.842256,5250,2800,3368212.09425923,0.025,0.05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.76082958545838
2018-03-01,06:50:36.576298,5500,2800,3099787.63312455,0.025,0.05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.54080953534799
2018-03-01,06:50:47.630960,5000,2800,3480000,0.05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:50:59.221751,5250,2800,3480000,0.05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:51:10.173586,5500,2800,3480000,0.05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:51:21.940620,5000,2800,3480000,0.05,0.01,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:51:32.061373,5250,2800,3480000,0.05,0.01,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:51:43.841290,5500,2800,3480000,0.05,0.01,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:51:55.200992,5000,2800,3480000,0.05,0.025,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:52:07.020140,5250,2800,3480000,0.05,0.025,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:52:19.180526,5500,2800,3480000,0.05,0.025,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
